timestamp,market_trend,market_breadth,market_cycle,market_volatility,y_continuous,y_binary
2016-01-06,0.0,0.0,0.0,0.0,0.0,0
2016-01-07,0.0,0.0,0.0,0.0,0.0,0
2016-01-08,0.0,0.0,0.0,0.0,0.0,0
2016-01-11,0.0,0.0,0.0,0.0,0.0,0
2016-01-12,0.0,0.0,0.0,0.0,0.0,0
2016-01-13,0.0,0.0,0.0,0.0,0.0,0
2016-01-14,0.0,0.0,0.0,0.0,0.0,0
2016-01-15,0.0,0.0,0.0,0.0,0.0,0
2016-01-18,0.0,0.0,0.0,0.0,0.0,0
2016-01-19,0.0,0.0,0.0,0.0,0.0,0
2016-01-20,0.0,0.0,0.0,0.0,0.0,0
2016-01-21,0.0,0.0,0.0,0.0,1.0,1
2016-01-22,0.0,0.0,0.0,0.0,1.0,1
2016-01-25,0.0,0.0,0.0,0.0,1.0,1
2016-01-26,0.0,0.0,0.0,0.0,1.0,1
2016-01-27,0.0,0.0,0.0,0.0,1.0,1
2016-01-28,0.0,0.0,0.0,0.0,1.0,1
2016-01-29,0.0,0.0,0.0,0.0,1.0,1
2016-02-01,0.0,0.0,0.0,0.0,1.0,1
2016-02-02,0.0,0.0,0.0,0.0,1.0,1
2016-02-03,0.0,0.0,0.0,0.0,1.0,1
2016-02-04,0.0,0.0,0.0,0.0,1.0,1
2016-02-05,0.0,0.0,0.0,0.0,1.0,1
2016-02-15,0.0,0.0,0.0,0.0,1.0,1
2016-02-16,0.0,0.0,0.0,0.0,1.0,1
2016-02-17,0.0,0.0,0.0,0.0,1.0,1
2016-02-18,0.0,0.0,0.0,0.0,1.0,1
2016-02-19,0.0,0.0,0.0,0.0,1.0,1
2016-02-22,0.0,0.0,0.0,0.0,1.0,1
2016-02-23,0.0,0.0,0.0,0.0,1.0,1
2016-02-24,0.0,0.0,0.0,0.0,1.0,1
2016-02-25,0.0,0.0,0.0,0.0,1.0,1
2016-02-26,0.0,0.0,0.0,0.0,1.0,1
2016-02-29,0.0,0.0,0.0,0.0,1.0,1
2016-03-01,0.0,0.0,0.0,0.0,1.0,1
2016-03-02,0.0,0.0,0.0,0.0,1.0,1
2016-03-03,0.0,0.0,0.0,0.0,1.0,1
2016-03-04,0.0,0.0,0.0,0.0,1.0,1
2016-03-07,0.0,0.0,0.0,0.0,1.0,1
2016-03-08,0.0,0.0,0.0,0.0,1.0,1
2016-03-09,0.0,0.0,0.0,0.0,1.0,1
2016-03-10,0.0,0.0,0.0,0.0,1.0,1
2016-03-11,0.0,0.0,0.0,0.0,1.0,1
2016-03-14,0.0,0.0,0.0,0.0,1.0,1
2016-03-15,0.0,0.0,0.0,0.0,1.0,1
2016-03-16,0.0,0.0,0.0,0.0,1.0,1
2016-03-17,0.0,0.0,0.0,0.0,1.0,1
2016-03-18,0.0,0.0,0.0,0.0,1.0,1
2016-03-21,0.0,0.0,0.0,0.0,1.0,1
2016-03-22,0.0,0.0,0.0,0.0,1.0,1
2016-03-23,0.0,0.0,0.0,0.0,1.0,1
2016-03-24,0.0,0.0,0.0,0.0,1.0,1
2016-03-25,0.0,0.0,0.0,0.0,1.0,1
2016-03-28,0.0,0.0,0.0,0.0,1.0,1
2016-03-29,0.0,0.0,0.0,0.0,1.0,1
2016-03-30,0.0,0.0,0.0,0.0,1.0,1
2016-03-31,0.0,0.0,0.0,0.0,1.0,1
2016-04-01,0.0,0.0,0.0,0.0,1.0,1
2016-04-04,0.0,0.0,0.0,0.0,1.0,1
2016-04-05,0.0,0.0,0.0,0.0,1.0,1
2016-04-06,0.0,0.0,0.0,0.0,1.0,1
2016-04-07,0.0,0.0,0.0,0.0,1.0,1
2016-04-08,-0.5981058981018005,-0.5984377004593364,-1.791267083143392,-1.0759528414468456,1.0,1
2016-04-11,-0.3296283989784394,-0.7986339581547347,-0.63478124268278,-0.7238081964214857,1.0,1
2016-04-12,0.0084034881453057,-0.4508025743837007,-0.4274085633787582,-0.4685983451609961,1.0,1
2016-04-13,-0.1705715701990109,-0.52202334001935,-0.2247966739829901,-0.3220064286944562,1.0,1
2016-04-14,-0.2299962570423618,-0.2423755793892069,-0.7068643239906581,-0.1772576404954431,1.0,1
2016-04-15,0.0667975390791417,-0.0371992770076282,0.912932796753758,0.1005192399960369,1.0,1
2016-04-19,-0.10354221090181,-0.1208177118059009,1.5967704991779816,0.1914479833142449,1.0,1
2016-04-20,-1.1076069210875203,-0.7098857705402782,0.1033889718514494,0.2754923790976717,1.0,1
2016-04-21,-1.1323731619811372,-0.705630692476101,0.0760460970040793,-1.1589170900439865,1.0,1
2016-04-22,-0.7796991492926014,-0.5537802444819797,0.0767464532222595,-0.7488371041233078,1.0,1
2016-04-25,-0.1606705879020877,-0.1043586479258323,1.4058852612782522,-0.5068173369992479,1.0,1
2016-04-26,-0.1097541574185909,0.112288100298269,1.707354864163683,-0.5457314210033446,1.0,1
2016-04-27,0.2341283915917847,-0.2071961143487772,1.902706278554655,-0.1263057736979261,1.0,1
2016-04-28,0.076002089896588,-0.0601295323563556,1.132126266430116,-0.0137001626955819,1.0,1
2016-04-29,-0.2344925373345877,-0.1483410484778858,1.2695312330964394,0.1611454601357773,1.0,1
2016-05-04,0.1582194419344822,0.2355747577824551,1.0347251571908205,0.0698144144259892,1.0,1
2016-05-05,0.2024599506147878,0.0600882190059159,0.7375078836168473,0.1206661674736478,1.0,1
2016-05-06,0.1977011395683049,0.1267783611512788,1.6551129081130072,0.4308606607370892,1.0,1
2016-05-09,0.0514096050067455,0.112187925363107,1.28088968856357,0.7229465928942638,1.0,1
2016-05-10,-0.418224445594846,-0.1455641752332228,1.0526458274131054,0.7912386113882017,1.0,1
2016-05-11,-0.6173044152701694,-0.1538545045997151,0.3580047744238248,0.3436253558717017,1.0,1
2016-05-12,-0.151607375729946,0.2514485767496306,0.9093248626224738,0.3477429970863477,1.0,1
2016-05-13,-0.1453883776476452,0.2340491671723902,0.5521848501202399,0.3064880433012581,1.0,1
2016-05-16,-0.4047038347277807,0.3005936817897613,0.3718192118044982,0.6182908402743778,1.0,1
2016-05-17,-0.4315941036814551,-0.0548361374984122,0.786722553628666,0.5141065358516215,1.0,1
2016-05-18,0.2101244025069549,0.4437716050520535,0.0997846443127696,0.7254267607451739,1.0,1
2016-05-19,0.1282736576060745,0.5055590063441298,0.0480084633272118,0.4631585050665931,1.0,1
2016-05-20,0.0414507071641039,0.3110842784465722,0.3299737556270753,0.6537035407410204,1.0,1
2016-05-23,-0.1102559009009751,0.2067105968762324,0.5835053469980006,0.7974663921387437,1.0,1
2016-05-24,-0.3245665854620534,0.3635810659479975,1.279137951455004,0.8228618616216236,1.0,1
2016-05-25,-0.2428011085164173,0.3437418047607553,1.3102149169563828,0.7461687190449491,1.0,1
2016-05-26,-0.1916250108685467,0.4115044916541378,0.3534330982389286,0.910130858683812,1.0,1
2016-05-27,-0.7701918886378288,0.0396312082475723,-0.547639744741916,1.0593343209258326,1.0,1
2016-05-30,-0.4070249560617128,0.0277492614538144,0.3886170131603109,0.3879187369315199,1.0,1
2016-05-31,0.006142442784052,0.5491938487143647,1.0220992808211462,0.4117108394077023,1.0,1
2016-06-01,0.3876780448498594,0.6125761854058408,0.9976584894988708,0.3802618009146007,1.0,1
2016-06-02,0.537689374148484,0.8492493948256229,0.595737364127836,0.3606219492241606,1.0,1
2016-06-03,1.022662547420688,0.986937889548676,1.3856394021663605,0.4958123072756081,1.0,1
2016-06-06,1.0252990908215576,0.5958817797620956,1.3374479468126867,0.3457953915094999,1.0,1
2016-06-07,0.6593514903160907,0.3043969156387124,1.4560952231035278,0.5495548931826291,1.0,1
2016-06-08,1.1117454279410686,0.7297976495228092,1.309358615137059,0.3996994212219402,1.0,1
2016-06-09,1.3831631964185362,0.9614198554129793,1.058482084045488,0.2699128418613383,1.0,1
2016-06-10,1.622637077647629,0.8338634679814554,1.6160844045997913,0.2670649429648967,1.0,1
2016-06-13,1.5667213147659091,0.9725723864042736,1.544286098656848,0.2603546952146294,1.0,1
2016-06-14,0.7459513975973512,0.2320343115830815,0.9612856986607816,0.4623652186519192,1.0,1
2016-06-15,0.8722720412882352,0.1271015766048059,0.5580617782233823,-0.3617898792908023,1.0,1
2016-06-16,0.957027796884611,0.1134675127493142,0.6395874612034503,-0.1469593140742896,1.0,1
2016-06-17,1.0365105539222743,0.2800936710139934,0.8536404858299186,0.0599193798678479,1.0,1
2016-06-20,0.3906323379922223,0.1729525615844702,0.2906647926485595,0.2328217329962559,1.0,1
2016-06-21,1.0018824688746917,-0.023541682986311,0.9473981327110989,-0.332278396396971,1.0,1
2016-06-22,0.9845205593846524,0.4226961899940716,0.8131266906072269,-0.5171168231807469,1.0,1
2016-06-23,1.007132741691647,0.4026732530715043,0.3415358214944773,-0.1838656616492004,1.0,1
2016-06-24,1.3288812507586674,0.8379393716298474,-0.0812160587029392,0.0685258683742177,1.0,1
2016-06-27,-0.1134221367378511,-0.0168862229624398,-0.782212341476413,0.0226040119826075,1.0,1
2016-06-28,-0.6907114698261446,-0.4915922243973559,-0.5162086666795477,-2.0867385012513044,1.0,1
2016-06-29,-0.4579916977833816,-0.5880986849661222,-0.770198967762859,-2.2143860261914967,1.0,1
2016-06-30,0.606832218025126,0.0679159073323984,-0.9015550268570568,-1.7165202687819496,1.0,1
2016-07-01,0.3222547126758882,-0.4161717411462407,-0.8891760042587485,-1.9874183894594344,1.0,1
2016-07-04,0.5931169026490287,-0.0933113887246027,-0.2512503107139116,-1.6433926373048793,1.0,1
2016-07-05,1.2843889372178938,0.4734509158472735,-0.1041019396083898,-1.3094591326564264,1.0,1
2016-07-06,1.2629660108287406,0.5679902998779897,-0.1038650660654221,-1.385375161239443,1.0,1
2016-07-07,1.4561730480996389,0.6600038722349627,0.0444642713565656,-0.9240772390847622,1.0,1
2016-07-08,2.155894514442516,0.8630430881022493,0.3709697039871371,-0.7051921815499428,1.0,1
2016-07-11,1.803781908995654,0.4888240829373554,1.5801477514141813,-1.0529575484419318,1.0,1
2016-07-12,0.5110622077957863,0.1218937418678514,0.5925720646167255,-0.8248675377935717,1.0,1
2016-07-13,0.4714828846498741,0.2256492814940023,0.4380330080099519,-2.254278782751308,0.0,0
2016-07-14,1.0628632321648432,0.7910854794953126,0.6666400367400733,-1.5831558484677797,0.0,0
2016-07-15,0.1544061272535243,0.6472109273994647,-0.0228759355096121,-1.5472761989743702,0.0,0
2016-07-18,-0.1014574056772631,0.8534001324604379,0.3946690720911225,-2.1657665456858246,0.0,0
2016-07-19,0.6074838558262834,0.822846074247448,-0.0306253424665259,-1.7598568281430211,0.0,0
2016-07-20,-0.052432318503784,0.5632584955908155,0.0598608674752855,-1.7410938550340354,0.0,0
2016-07-21,-0.9075340689831372,0.1930129197560068,-0.7940148276885496,-1.9370281734066812,0.0,0
2016-07-22,-1.2649395113937856,0.4128272428669394,-1.17588055665338,-2.4248921841187663,0.0,0
2016-07-25,-2.036718991919802,0.160471207039702,-1.9063662870744835,-2.162846283891862,0.0,0
2016-07-26,-2.203937629381948,-0.4435496735946405,-1.365840430251006,-2.579292548154424,0.0,0
2016-07-27,-2.115519185714361,-0.0910688898361194,-1.3097280821849382,-2.151045977994779,0.0,0
2016-07-28,-1.9031435756174504,-0.100118952897285,-2.3879889968551744,-1.4928764389657054,0.0,0
2016-07-29,-2.0946796456561163,-0.1090049947018109,-2.4807133737672102,-1.0146053368974783,0.0,0
2016-08-01,-2.0762193540041207,-0.3590572207333131,-2.32012594308842,-0.9005423517389411,0.0,0
2016-08-02,-2.550573624017305,-0.4856675761964292,-2.2474050535199317,-0.5291682752376801,0.0,0
2016-08-03,-3.0,-1.0970482309920075,-2.319002358564365,-1.0101543134541966,0.0,0
2016-08-04,-3.0,-1.33285640022659,-2.268724669174518,-2.5746021311191103,0.0,0
2016-08-05,-3.0,-1.6817689093985562,-2.2215851901616506,-2.5943591680615867,1.0,1
2016-08-08,-3.0,-2.364474239911286,-2.177270477904373,-2.75070676773676,1.0,1
2016-08-09,-3.0,-1.9638936397114235,-2.135509234666385,-2.5645527743573755,1.0,1
2016-08-10,-2.852981959807228,-2.0461063722043358,-1.988662942566596,-1.820785473874439,1.0,1
2016-08-11,-2.1481397336676906,-1.0787528522752778,-1.6650865431520756,-1.6015038865525466,1.0,1
2016-08-12,-1.3936379984340737,-0.7169707194468715,-0.6555667938088285,-1.5934429042589704,1.0,1
2016-08-15,-1.6401715912930674,-0.8357557611570439,-0.7371022267654198,-1.706330949149241,1.0,1
2016-08-16,-1.3011792625884953,-0.5939952177207117,-0.566646413691213,-1.6640540756315487,1.0,1
2016-08-17,-1.0059341805456656,-0.7155266771791885,-0.0896566965225308,-1.332806481057419,1.0,1
2016-08-18,-0.8743343357005724,-0.9565311421024744,0.4962133870105088,-1.0295769801955308,1.0,1
2016-08-19,-1.1264218397900718,-1.073374851073151,0.6927896506555815,-0.6191161514579704,1.0,1
2016-08-22,-1.222002343426843,-0.9462352939292789,0.7767239549714764,-0.7053511772603996,1.0,1
2016-08-23,-1.4636154581151428,-1.06399908055802,1.1104292746521776,-0.5067919490748337,1.0,1
2016-08-24,-1.2533779959844236,-1.058225213424013,1.3036658413861464,-0.640305254761109,1.0,1
2016-08-25,-1.3155766233206423,-1.174578571727064,0.8532135409835767,-0.336030098297063,1.0,1
2016-08-26,-1.365398019289474,-1.0445266668044344,0.7173323850853959,-0.1464801962328143,1.0,1
2016-08-29,-1.0170443238933948,-1.039107277952397,1.1017305344911057,0.0298985552305493,1.0,1
2016-08-30,-1.3165885595977909,-1.03378721261149,0.4231844640070519,0.0759447752157858,1.0,1
2016-08-31,-1.021425722794297,-0.904946063369731,0.3473703528732035,-0.2613745613305195,1.0,1
2016-09-01,-0.7709135428839046,-0.6529911048987317,0.5816748755861226,-0.1108184707852377,1.0,1
2016-09-05,-0.9109228851278524,-0.9027655553669446,0.7761166707975411,0.0529908385554749,1.0,1
2016-09-06,-1.100927191141113,-1.2738458007898918,0.6948790849435976,0.0868840131804732,1.0,1
2016-09-07,-0.9043295274877023,-1.264341365640665,0.8147838865858147,-0.0036330341255879,1.0,1
2016-09-08,-0.8337608721903786,-0.8797147879500483,0.5687310433074448,0.2131377908287163,1.0,1
2016-09-09,-0.5536723239920476,-0.8767953045002754,0.5270332476144751,0.5260621997398244,1.0,1
2016-09-12,-0.6097677121946181,-0.620789571680717,0.5961434706923349,0.5565414064218462,1.0,1
